SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,SETTLE_PR,OPEN_INT,CHG_IN_OI,VOLUME,TRADE_DATE,UNDERLYING_PRICE,HIGH_PRICE,LOW_PRICE,OPEN_PRICE,CLOSE_PRICE,LAST_PRICE
NIFTY,31-03-2026,27000.0,PE,2069.95,75,0,0,14-08-2025,24631.3,0.0,0.0,0.0,1500.05,1500.05
NIFTY,30-12-2025,26000.0,PE,1135.35,1424650,18225,1040,14-08-2025,24631.3,1155.0,1098.0,1101.3,1135.35,1137.25
NIFTY,28-10-2025,26150.0,PE,1477.95,150,0,0,14-08-2025,24631.3,0.0,0.0,0.0,1388.0,1388.0
NIFTY,28-10-2025,26000.0,PE,1161.7,12075,-750,29,14-08-2025,24631.3,1172.5,1142.0,1167.0,1161.7,1167.9
NIFTY,28-10-2025,25950.0,PE,1331.2,75,0,0,14-08-2025,24631.3,0.0,0.0,0.0,1148.6,1148.6
NIFTY,28-10-2025,24350.0,PE,450.9,2175,0,0,14-08-2025,24631.3,0.0,0.0,0.0,266.95,266.95
NIFTY,28-10-2025,24300.0,PE,267.25,14850,-675,63,14-08-2025,24631.3,268.15,254.0,257.5,267.25,268.15
NIFTY,28-10-2025,24200.0,PE,240.3,8850,-75,13,14-08-2025,24631.3,251.3,228.0,251.3,240.3,241.15
NIFTY,28-10-2025,24150.0,PE,379.25,1800,0,0,14-08-2025,24631.3,0.0,0.0,0.0,217.2,217.2
NIFTY,28-10-2025,24050.0,PE,204.75,1950,-225,3,14-08-2025,24631.3,204.75,204.75,204.75,204.75,204.75
NIFTY,28-10-2025,22800.0,PE,64.2,49725,-1500,74,14-08-2025,24631.3,65.9,57.15,63.0,64.2,64.95
NIFTY,30-09-2025,28000.0,PE,3130.25,281775,1500,35,14-08-2025,24631.3,3140.45,3100.0,3100.0,3130.25,3130.65
NIFTY,30-09-2025,27100.0,PE,2297.8,450,0,0,14-08-2025,24631.3,0.0,0.0,0.0,2376.5,2376.5
NIFTY,30-09-2025,26000.0,PE,1215.4,643725,4125,547,14-08-2025,24631.3,1239.9,1161.35,1193.9,1215.4,1226.75
NIFTY,30-09-2025,25900.0,PE,1260.25,9375,75,2,14-08-2025,24631.3,1123.8,1116.95,1123.8,1116.95,1116.95
NIFTY,30-09-2025,25250.0,PE,612.05,6975,75,4,14-08-2025,24631.3,620.0,607.65,610.2,612.05,612.05
NIFTY,30-09-2025,24250.0,PE,187.05,11100,-75,51,14-08-2025,24631.3,191.8,175.9,189.0,187.05,188.25
NIFTY,30-09-2025,24150.0,PE,162.75,48900,75,21,14-08-2025,24631.3,165.5,155.65,165.5,162.75,162.75
NIFTY,30-09-2025,23350.0,PE,101.05,64500,1425,21,14-08-2025,24631.3,59.5,55.0,58.2,58.5,58.5
NIFTY,30-09-2025,22950.0,PE,38.0,26025,0,10,14-08-2025,24631.3,38.0,35.9,37.05,38.0,38.0
NIFTY,09-09-2025,25350.0,PE,798.6,0,0,0,14-08-2025,24631.3,0.0,0.0,0.0,848.05,0.0
NIFTY,09-09-2025,25100.0,PE,628.45,0,0,0,14-08-2025,24631.3,0.0,0.0,0.0,682.15,0.0
NIFTY,09-09-2025,25050.0,PE,596.95,0,0,0,14-08-2025,24631.3,0.0,0.0,0.0,651.25,0.0
NIFTY,09-09-2025,24850.0,PE,479.9,0,0,0,14-08-2025,24631.3,0.0,0.0,0.0,535.55,0.0
NIFTY,09-09-2025,24700.0,PE,254.75,6150,900,41,14-08-2025,24631.3,270.0,236.0,236.0,254.75,254.75
NIFTY,09-09-2025,24550.0,PE,332.2,150,150,2,14-08-2025,24631.3,208.25,201.65,208.25,201.65,201.65
NIFTY,09-09-2025,22850.0,PE,12.65,0,0,0,14-08-2025,24631.3,0.0,0.0,0.0,24.25,0.0
NIFTY,09-09-2025,22750.0,PE,9.65,0,0,0,14-08-2025,24631.3,0.0,0.0,0.0,19.4,0.0
NIFTY,09-09-2025,22600.0,PE,11.45,1950,1950,37,14-08-2025,24631.3,12.35,11.0,11.0,11.45,11.9
NIFTY,02-09-2025,26650.0,PE,1942.35,0,0,0,14-08-2025,24631.3,0.0,0.0,0.0,1522.95,0.0
NIFTY,02-09-2025,25700.0,PE,1054.85,0,0,0,14-08-2025,24631.3,0.0,0.0,0.0,809.05,0.0
NIFTY,02-09-2025,24750.0,PE,248.1,1500,225,15,14-08-2025,24631.3,254.2,226.3,240.0,248.1,248.85
NIFTY,02-09-2025,24250.0,PE,87.4,12300,3900,230,14-08-2025,24631.3,94.2,80.65,84.6,87.4,90.15
NIFTY,02-09-2025,23950.0,PE,97.25,75,0,0,14-08-2025,24631.3,0.0,0.0,0.0,96.0,96.0
NIFTY,02-09-2025,23700.0,PE,29.95,22800,8550,434,14-08-2025,24631.3,32.2,26.85,29.0,29.95,30.55
NIFTY,02-09-2025,22650.0,PE,7.0,2925,1275,31,14-08-2025,24631.3,7.75,6.55,7.45,7.0,7.75
NIFTY,28-08-2025,26750.0,PE,2058.7,900,0,0,14-08-2025,24631.3,0.0,0.0,0.0,2178.3,2178.3
NIFTY,28-08-2025,26650.0,PE,1959.5,1725,0,0,14-08-2025,24631.3,0.0,0.0,0.0,2083.25,2083.25
NIFTY,28-08-2025,26250.0,PE,1566.15,4200,0,0,14-08-2025,24631.3,0.0,0.0,0.0,1512.5,1512.5
NIFTY,28-08-2025,25400.0,PE,732.2,383325,-27975,839,14-08-2025,24631.3,750.0,675.0,702.65,732.2,741.5
NIFTY,28-08-2025,24850.0,PE,286.25,110250,7950,1281,14-08-2025,24631.3,306.0,253.0,271.95,286.25,297.55
NIFTY,28-08-2025,24600.0,PE,162.85,1694550,85350,68191,14-08-2025,24631.3,175.95,141.4,156.95,162.85,170.0
NIFTY,21-08-2025,26450.0,PE,1788.45,300,0,0,14-08-2025,24631.3,0.0,0.0,0.0,1894.4,1894.4
NIFTY,21-08-2025,26250.0,PE,1589.0,225,0,0,14-08-2025,24631.3,0.0,0.0,0.0,1697.0,1697.0
NIFTY,21-08-2025,26150.0,PE,1489.4,825,0,0,14-08-2025,24631.3,0.0,0.0,0.0,1561.9,1561.9
NIFTY,21-08-2025,25550.0,PE,902.4,3525,0,0,14-08-2025,24631.3,0.0,0.0,0.0,847.6,847.6
NIFTY,21-08-2025,24400.0,PE,54.35,2244975,743700,149194,14-08-2025,24631.3,60.75,44.35,51.0,54.35,58.45
NIFTY,21-08-2025,24300.0,PE,37.2,2133000,758550,146913,14-08-2025,24631.3,42.1,30.5,36.0,37.2,40.25
NIFTY,21-08-2025,24050.0,PE,16.7,367425,27750,20334,14-08-2025,24631.3,18.5,13.7,16.85,16.7,18.15
NIFTY,21-08-2025,23250.0,PE,2.85,132450,77775,3043,14-08-2025,24631.3,4.05,2.65,3.35,2.85,2.9
NIFTY,14-08-2025,27050.0,PE,24631.3,225,0,0,14-08-2025,24631.3,0.0,0.0,0.0,2415.35,2411.9
NIFTY,14-08-2025,27000.0,PE,24631.3,5775,-2850,96,14-08-2025,24631.3,2378.0,2320.0,2378.0,2372.35,2365.25
NIFTY,14-08-2025,26650.0,PE,24631.3,300,0,0,14-08-2025,24631.3,0.0,0.0,0.0,2021.0,2022.95
NIFTY,14-08-2025,25900.0,PE,24631.3,975,-150,8,14-08-2025,24631.3,1281.3,1266.1,1278.2,1280.75,1280.75
NIFTY,14-08-2025,24250.0,PE,24631.3,3967650,-19725,1083341,14-08-2025,24631.3,4.1,0.05,4.1,0.15,0.05
NIFTY,14-08-2025,24100.0,PE,24631.3,5997225,788475,1247097,14-08-2025,24631.3,1.45,0.05,1.45,0.15,0.05
NIFTY,14-08-2025,24050.0,PE,24631.3,2513475,-35925,567290,14-08-2025,24631.3,1.5,0.05,1.5,0.1,0.05
NIFTY,14-08-2025,22950.0,PE,24631.3,132300,-9525,14163,14-08-2025,24631.3,0.55,0.05,0.55,0.1,0.05
NIFTY,26-06-2029,29000.0,CE,3917.1,0,0,0,14-08-2025,24631.3,0.0,0.0,0.0,5677.9,0.0
NIFTY,26-12-2028,26000.0,CE,4752.5,0,0,0,14-08-2025,24631.3,0.0,0.0,0.0,4879.7,0.0
NIFTY,26-12-2028,23000.0,CE,6500.3,0,0,0,14-08-2025,24631.3,0.0,0.0,0.0,6377.6,0.0
NIFTY,26-12-2028,19000.0,CE,9300.55,0,0,0,14-08-2025,24631.3,0.0,0.0,0.0,8739.0,0.0
NIFTY,28-12-2027,25000.0,CE,4076.8,75,0,0,14-08-2025,24631.3,0.0,0.0,0.0,4575.0,4575.0
NIFTY,30-06-2026,27000.0,CE,1068.6,0,0,0,14-08-2025,24631.3,0.0,0.0,0.0,1352.8,0.0
NIFTY,31-03-2026,29000.0,CE,99.35,32100,-150,67,14-08-2025,24631.3,107.2,96.5,107.2,99.35,100.0
NIFTY,31-03-2026,21000.0,CE,4492.6,0,0,0,14-08-2025,24631.3,0.0,0.0,0.0,4255.8,0.0
NIFTY,30-12-2025,30000.0,CE,16.15,482325,-900,153,14-08-2025,24631.3,16.85,16.0,16.7,16.15,16.0
NIFTY,30-12-2025,20000.0,CE,5090.0,288175,-300,22,14-08-2025,24631.3,5110.0,5068.0,5110.0,5090.0,5090.0
NIFTY,28-10-2025,26350.0,CE,238.8,0,0,0,14-08-2025,24631.3,0.0,0.0,0.0,348.35,0.0
NIFTY,28-10-2025,26050.0,CE,308.9,0,0,0,14-08-2025,24631.3,0.0,0.0,0.0,433.75,0.0
NIFTY,28-10-2025,25150.0,CE,401.55,2325,300,9,14-08-2025,24631.3,422.55,401.55,407.0,401.55,401.55
NIFTY,28-10-2025,24400.0,CE,1005.35,15525,75,2,14-08-2025,24631.3,828.4,828.0,828.4,828.0,828.0
NIFTY,28-10-2025,24150.0,CE,1161.35,1425,0,1,14-08-2025,24631.3,1015.0,1015.0,1015.0,1015.0,1015.0
NIFTY,28-10-2025,24100.0,CE,1194.1,2025,0,0,14-08-2025,24631.3,0.0,0.0,0.0,959.0,959.0
NIFTY,30-09-2025,27250.0,CE,32.95,375,0,0,14-08-2025,24631.3,0.0,0.0,0.0,10.9,10.9
NIFTY,30-09-2025,26950.0,CE,51.0,75,0,0,14-08-2025,24631.3,0.0,0.0,0.0,11.55,11.55
NIFTY,30-09-2025,26750.0,CE,16.5,28050,-300,51,14-08-2025,24631.3,19.9,15.9,18.85,16.5,16.5
NIFTY,30-09-2025,26250.0,CE,32.35,13800,-150,11,14-08-2025,24631.3,34.7,32.35,34.7,32.35,32.35
NIFTY,30-09-2025,26100.0,CE,43.4,116925,-975,780,14-08-2025,24631.3,47.6,41.95,45.0,43.4,42.05
NIFTY,30-09-2025,26050.0,CE,47.2,16650,150,73,14-08-2025,24631.3,53.05,46.5,48.55,47.2,46.5
NIFTY,30-09-2025,24750.0,CE,432.25,18750,600,174,14-08-2025,24631.3,462.55,420.0,455.0,432.25,427.6
NIFTY,30-09-2025,24300.0,CE,727.05,12825,-1875,49,14-08-2025,24631.3,750.45,710.0,740.0,727.05,724.0
NIFTY,30-09-2025,23300.0,CE,1607.45,75,0,0,14-08-2025,24631.3,0.0,0.0,0.0,1533.75,1553.5
